ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
1,-46548146,-23568390,355030885000019,3550308005040,26,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,PRA?A LE+O X,7216-8,RUA CODAJ-S,45,VILA FORMOSA,PRA?A  MARECHAL LEIT+O BANDEIRA
2,-46790389,-23583934,355030865000159,3550308005240,10,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,RAPOSO TAVARES,1129-0,RUA GABRIEL DE CARVALHO,60,JARDIM BOA VISTA,RV RAPOSO TAVARES KM 18
3,-46760664,-23572251,355030867000164,3550308005182,10,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM SARAH,1098-7,RUA BERNARDO GUERTZENSTEIN,20,JARDIM SARAH,ESTRADA DO RIO PEQUENO
4,-46743327,-23576108,355030867000189,3550308005183,10,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM BONFIGLIOLI,3039-2,AV. OCTAC-LIO TOMANIK,154,RIO PEQUENO,AV DR. HEITOR EIRAS GARCIA
5,-46535144,-23561648,355030885000025,3550308005040,26,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,VILA FORMOSA,1030-8,AV. TRUMA-N,31,VILA FORMOSA,PRA?A LIB+RIA
6,-46513022,-23573498,355030804000114,3550308005151,26,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,VILA ANTONIETA,4059-2,RUA PETROBR-S,758,VILA ANTONIETA,TV. AV INCONFIND-NCIA MINEIRA
7,-46781591,-23596606,355030865000022,3550308005240,10,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM S+O JORGE,5088-1,RUA PROFESSOR  JO+O DE LORENZO,10,JARDIM S+O JORGE,PROX. CEMIT+RIO ISRAELITA
8,-46765916,-23596972,355030865000035,3550308005238,10,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM GUARAU,5119-5,RUA JERONIMO FERNANDES,44,JARDIM GUARA+,ESTRADA DO JAGUAR+
9,-46758596,-23596310,355030894000201,3550308005181,10,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA REGINA,1153-3,RUA NATAL PIGASSI,1024,JARDIM CELESTE,
10,-46704844,-23610977,355030854000094,3550308005104,10,MORUMBI,10,BUTANTA,Oeste,Oeste,FEIR+O DA ECONOMIA REAL PARQUE,5143-8,AV. BAR+O DE MONTE MOR,143,REAL PARQUE MORUMBI,Vila Morumbi
11,-46711764,-23680424,355030879000004,3550308005220,19,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,VELEIROS,3085-6,RUA DAS PAINEIRAS,203,VELEIROS,RUAS MAR DEL PLATA/PE POLMA
12,-46655838,-23663825,355030822000116,3550308005164,16,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,CIDADE ADEMAR,4078-9,RUA VISCONDE DE SANTA ISABEL,261,CIDADE ADEMAR,Jardim jabaquara
13,-46746003,-23448362,355030842000025,3550308005185,02,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM IPANEMA,4124-6,RUA FRANCISCO BAZIN,76,JARDIM IPANEMA,TV RUA MAURO DE ARA+JO RIBEI
14,-46741913,-23453636,355030842000235,3550308005185,02,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARAGU-,6065-8,RUA LAVRINHA,68,VILA JARAGU-,PR?XIMO A ESTA?+O DO JARAGU-
15,-46734786,-23441651,355030842000009,3550308005187,02,JARAGUA,2,PIRITUBA,Norte,Norte 1,PARQUE NA?iES UNIDAS,3147-0,RUA SAV+RIO VALENTE,102,PARQUE NA?iES UNIDAS,
16,-46733789,-23449194,355030842000003,3550308005187,02,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM S+O JO+O,1141-0,RUA PASTORIL DE ALMENARA,76,PARQUE PANAMERICANO,TV ESTRADA DE TAIPAS
17,-46731992,-23438924,355030842000172,3550308005186,02,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM CITY JARAGU-,1244-0,RUA SAMUEL BOVY,68,JARDIM RINC+O,ENTRE AS RUAS CAMILO ZANOTTI E DOM PEDRO GAST+O
18,-46736650,-23454623,355030842000018,3550308005187,02,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM BANDEIRANTES,5161-6,RUA ALTO DO RIO BRANCO,537,JD BANIMDEIRANTES,
