ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
1,-46534859,-23562772,355030885000038,3550308005040,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,VILA FORMOSA,10308,AV TRUMAIN C/ HENRIQUE MORIZE,,VL FORMOSA,
2,-46545154,-23541060,355030820000049,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,VILA CARRAO,10316,RUA COMEN GIL PINHEIRO,,VL CALIFORNIA,
3,-46515046,-23583043,355030804000097,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,VILA RICA,10499,RUA PROF ALZIRA DE O GILIOLI,,VL RICA,
4,-46533973,-23549974,355030820000004,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,VILA SANTA IZABEL,10553,RUA LUIS PINTO,,VL CARRAO,
5,-46555593,-23547449,355030880000111,3550308005037,82,TATUAPE,25,MOOCA,Leste,Leste 1,SANTA GERTRUDES,30414,RUA SANTA GERTRUDES,,TATUAPE,
6,-46519026,-23558204,355030804000067,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,PARQUE MARIA LUIZA,30600,AV PROF CARLOS CALIOLLI,,PQ MARIA LUIZA,
7,-46509912,-23579707,355030804000119,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,VILA NOVA YORK,30740,RUA MAL MARQUES PORTO,,VL NOVA YORK,
8,-46527727,-23551127,355030820000052,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,VILA NOVA MANCHESTER,40401,RUA SAO VALENTIM,,VL CARRAO,
9,-46550164,-23558733,355030885000091,3550308005040,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,VILA FORMOSA,40410,RUA MARAGOJIPE,,VL FORMOSA,
10,-46552720,-23539316,355030820000099,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,ALFERES FRAZAO,40576,RUA DIAMANTE PRETO,,ARICANDUVA,
11,-46512929,-23573314,355030804000014,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,VILA ANTONIETA,40592,RUA PETROBRAS,,VL ANTONIETA,
12,-46523498,-23570694,355030804000022,3550308005153,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,JARDIM RECORD,41092,AV DOS PEQUIS,,JD VL FORMOSA,
13,-46543190,-23545946,355030820000024,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,VILA CARRAO,50334,RUA DENTISTA BARRETO,,VL CARRAO,
14,-46540513,-23555449,355030820000016,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,VILA SANTA IZABEL,50342,RUA PIRAMBOIA,,VL STA IZABEL,
15,-46529558,-23573437,355030804000084,3550308005153,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,CHACARA BELENZINHO,51101,PC PADRE AGENOR CARDIM,,CHAC BELENZINHO,
16,-46519209,-23582070,355030804000078,3550308005153,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,DEDO DE DEUS,51403,RUA ALFARO,,VL RICA
17,-46559014,-23554939,355030885000100,3550308005040,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,CERET,51861,PC DO TRABALHADOR ( CERET ),,VILA GOMES CARDIM
18,-46551416,-23574346,355030885000066,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,SAPOPEMBA,60399,RUA GRECCO,,ALTO DA MOOCA
19,-46509725,-23566091,355030804000071,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,JARDIM ARICANDUVA,60623,AV ODILON PIRES,,JD ARICANDUVA
20,-46515555,-23586503,355030804000110,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,JARDIM IVA,61085,RUA ROMILDO FINOZZI,,JD IVA
21,-46539533,-23543654,355030820000114,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,VILA MANCHESTER,61298,PC HAROLDO DALTRO,,VL MANCHESTER
22,-46553503,-23550895,355030820000088,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,SANTO ESTEVAO,70300,RUA AREIAO,,TATUAPE
23,-46539499,-23535247,355030891000139,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,VILA ARICANDUVA,70394,RUA FRANCISCA DE PAULA,,VL CARRAO
24,-46536050,-23576820,355030885000058,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,PRACA MANOEL ARIZA,70432,AV ANTONIO MANOGRASSO,,VL FORMOSA
25,-46523490,-23568433,355030804000022,3550308005153,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,JARDIM VILA FORMOSA,70599,AV DOM AZEREDO COUTINHO,,JD VL FORMOSA
26,-46528156,-23580624,355030885000104,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,VILA CRUZEIRO,70882,RUA MARIA FRANCISCA DO NASCIMENTO,,VL CRUZEIRO
27,-46506392,-23588006,355030804000111,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,COHAB BARREIRA GRANDE,71188,AV RUFINO FERNANDES INIVARRI,,BARREIRA GRANDE
28,-46769845,-23686426,355030843000129,3550308005227,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JARDIM ANGELA,10820,RUA MARCELINO COELHO,,JD ANGELA
29,-46735009,-23652005,355030846000260,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM SAO LUIZ,10855,RUA ARRAIAL DOS COUROS,,JD SAO LUIZ
30,-46749311,-23673883,355030846000029,3550308005223,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM CRIS,10944,RUA ALBINO CORREA DE CAMPOS,,VL REMO
